Date,Index
2018-07-16,1529.0
2018-07-13,1527.0
2018-07-12,1517.0
2018-07-11,1498.0
2018-07-10,1431.0
2018-07-09,1367.0
2018-07-06,1347.0
2018-07-05,1339.0
2018-07-04,1334.0
2018-07-03,1336.0
2018-07-02,1338.0
2018-06-29,1336.0
2018-06-28,1331.0
2018-06-27,1324.0
2018-06-26,1321.0
2018-06-25,1339.0
2018-06-22,1355.0
2018-06-21,1382.0
2018-06-20,1419.0
2018-06-19,1458.0
2018-06-18,1482.0
2018-06-15,1495.0
2018-06-14,1498.0
2018-06-13,1488.0
2018-06-12,1474.0
2018-06-11,1451.0
2018-06-08,1418.0
2018-06-07,1344.0
2018-06-06,1290.0
2018-06-05,1250.0
2018-06-04,1217.0
2018-06-01,1192.0
2018-05-31,1160.0
2018-05-30,1149.0
2018-05-29,1163.0
2018-05-25,1187.0
2018-05-24,1202.0
2018-05-23,1222.0
2018-05-22,1239.0
2018-05-21,1243.0
2018-05-18,1241.0
2018-05-17,1239.0
2018-05-16,1237.0
2018-05-15,1237.0
2018-05-14,1240.0
2018-05-10,1246.0
2018-05-09,1253.0
2018-05-08,1257.0
2018-05-04,1265.0
2018-05-03,1266.0
2018-05-02,1271.0
2018-05-01,1271.0
2018-04-30,1276.0
2018-04-27,1275.0
2018-04-26,1272.0
2018-04-25,1264.0
2018-04-24,1269.0
2018-04-23,1281.0
2018-04-20,1289.0
2018-04-19,1306.0
2018-04-18,1329.0
2018-04-17,1353.0
2018-04-16,1359.0
2018-04-13,1351.0
2018-04-12,1335.0
2018-04-11,1325.0
2018-04-10,1319.0
2018-04-09,1315.0
2018-04-06,1317.0
2018-04-05,1343.0
2018-04-04,1397.0
2018-04-03,1455.0
2018-03-29,1495.0
2018-03-28,1520.0
2018-03-27,1552.0
2018-03-26,1575.0
2018-03-23,1587.0
2018-03-22,1593.0
2018-03-21,1606.0
2018-03-20,1615.0
2018-03-19,1621.0
2018-03-16,1618.0
2018-03-15,1619.0
2018-03-14,1623.0
2018-03-13,1623.0
2018-03-12,1624.0
2018-03-09,1615.0
2018-03-08,1590.0
2018-03-07,1553.0
2018-03-06,1528.0
2018-03-05,1502.0
2018-03-02,1500.0
2018-03-01,1505.0
2018-02-28,1513.0
2018-02-27,1513.0
2018-02-26,1504.0
2018-02-23,1481.0
2018-02-22,1438.0
2018-02-21,1388.0
2018-02-20,1333.0
2018-02-19,1294.0
2018-02-16,1273.0
2018-02-15,1251.0
2018-02-14,1231.0
2018-02-13,1228.0
2018-02-12,1237.0
2018-02-09,1250.0
2018-02-08,1263.0
2018-02-07,1293.0
2018-02-06,1316.0
2018-02-05,1339.0
2018-02-02,1359.0
2018-02-01,1378.0
2018-01-31,1411.0
2018-01-30,1450.0
2018-01-29,1485.0
2018-01-26,1492.0
2018-01-25,1481.0
2018-01-24,1456.0
2018-01-23,1404.0
2018-01-22,1362.0
2018-01-19,1333.0
2018-01-18,1311.0
2018-01-17,1317.0
2018-01-16,1329.0
2018-01-15,1340.0
2018-01-12,1348.0
2018-01-11,1371.0
2018-01-10,1404.0
2018-01-09,1428.0
2018-01-08,1424.0
2018-01-05,1400.0
2018-01-04,1365.0
2018-01-03,1332.0
2018-01-02,1340.0
2017-12-22,1395.0
2017-12-21,1445.0
2017-12-20,1546.0
2017-12-19,1593.0
2017-12-18,1643.0
2017-12-15,1677.0
2017-12-14,1714.0
2017-12-13,1718.0
2017-12-12,1672.0
2017-12-11,1624.0
2017-12-08,1588.0
2017-12-07,1564.0
2017-12-06,1563.0
2017-12-05,1571.0
2017-12-04,1559.0
2017-12-01,1494.0
2017-11-30,1433.0
2017-11-29,1368.0
2017-11-28,1320.0
2017-11-27,1299.0
2017-11-24,1295.0
2017-11-23,1284.0
2017-11-22,1281.0
2017-11-21,1275.0
2017-11-20,1280.0
2017-11-17,1285.0
2017-11-16,1298.0
2017-11-15,1320.0
2017-11-14,1346.0
2017-11-13,1387.0
2017-11-10,1418.0
2017-11-09,1468.0
2017-11-08,1515.0
2017-11-07,1558.0
2017-11-06,1567.0
2017-11-03,1562.0
2017-11-02,1539.0
2017-11-01,1503.0
2017-10-31,1492.0
2017-10-30,1498.0
2017-10-27,1517.0
2017-10-26,1553.0
2017-10-25,1592.0
2017-10-24,1626.0
2017-10-23,1642.0
2017-10-20,1643.0
2017-10-19,1648.0
2017-10-18,1646.0
2017-10-17,1651.0
2017-10-16,1637.0
2017-10-13,1606.0
2017-10-12,1556.0
2017-10-11,1504.0
2017-10-10,1465.0
2017-10-09,1438.0
2017-10-06,1406.0
2017-10-05,1345.0
2017-10-04,1276.0
2017-10-03,1247.0
2017-10-02,1268.0
2017-09-29,1308.0
2017-09-28,1352.0
2017-09-27,1406.0
2017-09-26,1446.0
2017-09-25,1474.0
2017-09-22,1493.0
2017-09-21,1514.0
2017-09-20,1531.0
2017-09-19,1536.0
2017-09-18,1529.0
2017-09-15,1521.0
2017-09-14,1499.0
2017-09-13,1464.0
2017-09-12,1429.0
2017-09-11,1394.0
2017-09-08,1375.0
2017-09-07,1351.0
2017-09-06,1314.0
2017-09-05,1275.0
2017-09-04,1227.0
2017-09-01,1198.0
2017-08-31,1189.0
2017-08-30,1195.0
2017-08-29,1215.0
2017-08-25,1235.0
2017-08-24,1259.0
2017-08-23,1311.0
2017-08-22,1345.0
2017-08-21,1349.0
2017-08-18,1345.0
2017-08-17,1336.0
2017-08-16,1310.0
2017-08-15,1289.0
2017-08-14,1272.0
2017-08-11,1256.0
2017-08-10,1228.0
2017-08-09,1192.0
2017-08-08,1170.0
2017-08-07,1158.0
2017-08-04,1153.0
2017-08-03,1143.0
2017-08-02,1118.0
2017-08-01,1098.0
2017-07-31,1095.0
2017-07-28,1109.0
2017-07-27,1146.0
2017-07-26,1192.0
2017-07-25,1225.0
2017-07-24,1248.0
2017-07-21,1258.0
2017-07-20,1260.0
2017-07-19,1252.0
2017-07-18,1226.0
2017-07-17,1202.0
2017-07-14,1173.0
2017-07-13,1141.0
2017-07-12,1098.0
2017-07-11,1069.0
2017-07-10,1061.0
2017-07-07,1062.0
2017-07-06,1063.0
2017-07-05,1060.0
2017-07-04,1062.0
2017-07-03,1068.0
2017-06-29,1119.0
2017-06-28,1150.0
2017-06-27,1151.0
2017-06-26,1145.0
2017-06-23,1138.0
2017-06-22,1109.0
2017-06-21,1070.0
2017-06-20,1017.0
2017-06-19,984.0
2017-06-09,813.0
2017-06-08,793.0
2017-06-07,783.0
2017-06-06,783.0
2017-06-05,789.0
2017-06-02,792.0
2017-06-01,810.0
2017-05-31,829.0
2017-05-30,842.0
2017-05-26,845.0
2017-05-25,848.0
2017-05-24,849.0
2017-05-23,850.0
2017-05-22,854.0
2017-05-19,870.0
2017-05-18,894.0
2017-05-17,925.0
2017-05-16,956.0
2017-05-15,978.0
2017-05-12,992.0
2017-05-11,1006.0
2017-05-10,1011.0
2017-05-09,1007.0
2017-05-08,1009.0
2017-05-05,1023.0
2017-05-04,1048.0
2017-05-03,1096.0
2017-05-02,1140.0
2017-04-28,1187.0
2017-04-27,1260.0
2017-04-26,1320.0
2017-04-25,1371.0
2017-04-24,1429.0
2017-04-21,1494.0
2017-04-20,1553.0
2017-04-19,1612.0
2017-04-18,1621.0
2017-04-13,1611.0
2017-04-12,1583.0
2017-04-11,1533.0
2017-04-10,1466.0
2017-04-07,1427.0
2017-04-06,1387.0
2017-04-05,1371.0
2017-04-04,1377.0
2017-04-03,1379.0
2017-03-31,1374.0
2017-03-30,1366.0
2017-03-29,1346.0
2017-03-28,1306.0
2017-03-27,1253.0
2017-03-24,1218.0
2017-03-23,1170.0
2017-03-22,1119.0
2017-03-21,1101.0
2017-03-20,1103.0
2017-03-17,1108.0
2017-03-16,1129.0
2017-03-15,1150.0
2017-03-14,1185.0
2017-03-13,1207.0
2017-03-10,1211.0
2017-03-09,1220.0
2017-03-08,1220.0
2017-03-07,1194.0
2017-03-06,1154.0
2017-03-03,1118.0
2017-03-02,1084.0
2017-03-01,1041.0
2017-02-28,995.0
2017-02-27,966.0
2017-02-24,947.0
2017-02-23,927.0
2017-02-22,908.0
2017-02-21,906.0
2017-02-20,909.0
2017-02-17,917.0
2017-02-16,923.0
2017-02-15,933.0
2017-02-14,939.0
2017-02-13,944.0
2017-02-10,943.0
2017-02-09,940.0
2017-02-08,934.0
2017-02-07,931.0
2017-02-06,922.0
2017-02-03,922.0
2017-02-02,926.0
2017-02-01,933.0
2017-01-31,951.0
2017-01-30,964.0
2017-01-27,968.0
2017-01-26,973.0
2017-01-25,972.0
2017-01-24,964.0
2017-01-23,962.0
2017-01-20,970.0
2017-01-19,981.0
2017-01-18,998.0
2017-01-17,1019.0
2017-01-16,1039.0
